Points_0,Points_1,Points_2
0.475407,0.954189,-0.292809
0.441314,0.874089,-0.26304
0.477889,0.568457,-0.200645
0.447196,0.677417,-0.216821
0.422065,0.757499,-0.219634
0.427548,0.95519,-0.275546
0.412989,0.882469,-0.240356
0.481217,0.583868,-0.177061
0.453795,0.680335,-0.175707
0.42858,0.762507,-0.175147
0.400606,0.956724,-0.248771
0.397635,0.877898,-0.180944
0.522147,0.601311,-0.139442
0.487433,0.693198,-0.135427
0.472362,0.764332,-0.132451
0.387911,0.984614,-0.138264
0.451793,0.920621,-0.130286
0.609233,0.594329,-0.194614
0.601783,0.963208,-0.281123
0.603881,0.904122,-0.268168
0.569631,0.590926,-0.240904
0.593685,0.761211,-0.269852
0.541886,0.584432,-0.242222
0.54356,0.982365,-0.308612
0.549697,0.905215,-0.279691
0.55868,0.749922,-0.268565
0.549441,0.659741,-0.255472
0.588276,0.673652,-0.253815
0.506657,0.978738,-0.0938181
0.453178,0.976384,-0.103189
0.515085,0.939223,-0.121224
0.518321,0.768326,-0.110089
0.606306,0.602708,-0.151415
0.554022,0.587668,-0.125354
0.595114,0.728608,-0.133822
0.529486,0.696575,-0.112778
0.613311,0.979333,-0.0986361
0.62598,0.908997,-0.116229
0.605398,0.791137,-0.125023
0.691828,1.13546,-0.243394
0.673441,1.12428,-0.293872
0.678727,1.07274,-0.223699
0.61487,1.13832,-0.337053
0.661045,1.05811,-0.272021
0.543684,1.12057,-0.342167
0.618185,1.03207,-0.299686
0.453983,1.12324,-0.331631
0.542181,1.03371,-0.32628
0.408033,1.11406,-0.308197
0.458691,1.02478,-0.313254
0.378649,1.10612,-0.280276
0.416505,1.03919,-0.299495
0.342239,1.11456,-0.201053
0.389228,1.04925,-0.258963
0.707771,1.18257,-0.258016
0.695036,1.19346,-0.298125
0.640437,1.20599,-0.345319
0.558535,1.20045,-0.358076
0.473423,1.20035,-0.345892
0.419904,1.18366,-0.331996
0.382008,1.17364,-0.312521
0.325774,1.1788,-0.231752
0.727449,1.2577,-0.275525
0.468715,1.25423,-0.350829
0.571213,1.27388,-0.360509
0.6552,1.26921,-0.341373
0.699457,1.25838,-0.31939
0.377798,1.24476,-0.32832
0.425031,1.24512,-0.351105
1.07437,2.54881,0.156433
1.06391,2.55369,0.171517
1.17943,2.59365,0.171517
1.08639,2.52341,0.0966497
1.1735,2.58742,0.139589
1.09609,2.46141,0.0404459
1.18154,2.57294,0.106184
1.10856,2.39955,0.0221439
1.19217,2.50128,0.0417989
1.12122,2.33757,0.00390691
1.21915,2.45065,0.0215489
1.14229,2.21308,-0.0323321
1.23665,2.37963,-0.00515109
1.15397,2.07974,-0.0489411
1.27904,2.28192,-0.0289021
1.19409,1.90487,-0.0486371
1.3033,2.14702,-0.0442351
1.21222,1.79727,-0.0337911
1.31695,1.99114,-0.0279691
1.22907,1.75266,-0.0104011
1.34351,1.88779,-0.00116708
1.23734,1.71221,0.0148699
1.35301,1.85932,0.0118539
1.26385,1.6433,0.0582239
1.36778,1.82907,0.0358169
1.29737,1.62598,0.0888245
1.37909,1.79687,0.0653859
1.28462,1.61725,0.171516
1.39524,1.75986,0.0935717
1.39087,2.69728,0.105372
1.27238,2.62818,0.126263
1.27092,2.63621,0.171516
1.56697,1.96272,0.171515
1.47999,1.86118,0.171516
1.49161,1.87032,0.0844157
1.56444,1.95616,0.0897624
1.46252,1.88921,0.0624769
1.45027,1.92684,0.0340009
1.55754,1.97619,0.0392719
1.44477,1.9726,0.000833918
1.54125,2.03188,-0.00516508
1.43321,2.05574,-0.0319271
1.52953,2.13804,-0.0475321
1.39997,2.20204,-0.0571151
1.5061,2.25179,-0.0663191
1.35732,2.32494,-0.0394651
1.46094,2.36303,-0.0510191
1.33067,2.42957,-0.0100941
1.45915,2.45749,-0.0384601
1.30892,2.49485,0.00119992
1.42957,2.5474,-0.0237631
1.28169,2.55174,0.0315669
1.40459,2.65243,0.0291119
1.27322,2.60695,0.0920072
1.39906,2.67858,0.0648709
1.22119,1.51014,0.0827592
1.21813,1.51407,0.171517
0.779251,2.47656,0.171518
0.948482,2.51674,0.171518
0.945048,2.48561,0.0975891
0.788724,2.45847,0.0822142
0.954931,2.4235,0.0414569
0.808948,2.40499,0.0209899
0.971479,2.35799,0.0159869
0.858344,2.33472,-0.0149271
0.988974,2.28696,-0.0107131
0.873702,2.24583,-0.0543271
1.00613,2.16193,-0.0465291
0.91055,2.12813,-0.0848621
1.04761,2.02502,-0.0555271
0.95925,1.99367,-0.0998761
1.09729,1.85481,-0.0815921
1.02572,1.79957,-0.115583
0.987273,1.88649,-0.118289
1.13045,1.75519,-0.0664771
1.03504,1.71712,-0.111686
1.1436,1.6891,-0.0300481
1.04966,1.62342,-0.0579251
1.15833,1.61194,0.00394291
1.19662,1.54713,0.0497079
1.39291,1.76187,0.171516
0.929059,1.98273,-0.146117
0.961551,1.8564,-0.142842
0.978091,1.77633,-0.145099
0.957514,1.62247,-0.145108
0.978082,1.69924,-0.14476
0.856202,2.11554,-0.125822
0.842427,2.11948,-0.138121
0.80427,2.2273,-0.0919641
0.869077,1.43813,-0.241601
0.891612,1.49327,-0.261032
0.933966,1.51746,-0.189656
0.897311,1.58791,-0.257929
0.939255,1.59269,-0.179196
0.915821,1.6936,-0.280225
0.953189,1.6968,-0.210141
0.924425,1.77059,-0.275627
0.952012,1.77624,-0.2215
0.90109,1.87707,-0.251991
0.941186,1.85321,-0.202986
0.880989,2.00532,-0.194531
0.895897,2.00098,-0.167761
0.868664,2.12049,-0.114388
0.686037,2.46805,0.171519
0.68791,2.45369,0.0920535
0.710224,2.40884,0.0208629
0.762393,2.29584,-0.0691741
0.737826,1.29868,-0.267433
0.782105,1.35115,-0.275156
0.660135,2.44135,0.0777361
0.672116,2.4196,0.0274579
0.713238,2.32725,-0.0566011
0.74681,2.24097,-0.120885
0.782653,2.14966,-0.162952
0.805606,2.02446,-0.231948
0.82746,1.91327,-0.285753
0.847909,1.79014,-0.327515
0.850171,1.66427,-0.34431
0.829056,1.57212,-0.330477
0.823431,1.50541,-0.32718
0.799103,1.41878,-0.288274
0.635518,1.38776,-0.353703
0.677562,1.52228,-0.383766
0.544735,2.45401,0.0932178
0.538951,2.46775,0.171519
0.689619,1.59698,-0.391864
0.692052,1.65533,-0.399583
0.665564,1.80457,-0.383665
0.639882,1.91305,-0.332945
0.618944,2.04468,-0.277412
0.611151,2.17794,-0.208376
0.567594,2.31905,-0.107171
0.551064,2.39303,-0.00645908
0.540825,2.43545,0.0571949
-0.153483,2.42206,0.100666
-0.148687,2.44236,0.171522
0.0714054,2.4471,0.171521
-0.147453,2.38313,0.0442729
0.0732079,2.38686,0.0473399
-0.124659,2.33935,-0.0180491
0.0679399,2.33125,-0.0320451
-0.117329,2.25206,-0.106066
0.0832665,2.2109,-0.137289
-0.144743,2.17962,-0.189939
0.125849,2.11391,-0.213761
-0.112626,2.02588,-0.307313
0.154056,2.01281,-0.268995
-0.0143611,1.83574,-0.381472
0.161968,1.84721,-0.351224
-0.0144091,1.74506,-0.410795
0.156903,1.76576,-0.372016
-0.0242261,1.67058,-0.426496
0.166795,1.69855,-0.382221
-0.0129811,1.59673,-0.432558
0.163991,1.63513,-0.390412
-0.0110021,1.50738,-0.42941
0.171247,1.54392,-0.376464
-0.00933569,1.40067,-0.415335
0.177511,1.44816,-0.331159
-0.0194431,1.29935,-0.381172
0.166178,1.39822,-0.314676
-0.0119051,1.18021,-0.312004
0.162281,1.2853,-0.278022
-0.0181641,1.09941,-0.238363
0.169546,1.20781,-0.234492
-0.0145801,1.05878,-0.16566
0.158173,1.14345,-0.194881
0.154669,1.1084,-0.149526
0.150257,1.0383,-0.0824661
0.150385,1.01879,-0.0134211
-0.498792,2.42652,0.0894836
-0.4933,2.44765,0.171523
-0.352972,2.44419,0.171522
-0.497875,2.4032,0.0518599
-0.349714,2.42307,0.104784
-0.528235,2.37858,-0.0238181
-0.36978,2.39693,0.0540109
-0.515579,2.33635,-0.111059
-0.361393,2.36964,-1.40926e-05
-0.549464,2.26731,-0.163961
-0.331215,2.32827,-0.0685041
-0.653474,2.2105,-0.197761
-0.336945,2.2552,-0.137081
-0.679249,2.07696,-0.333742
-0.431108,2.12276,-0.256544
-0.583743,1.87284,-0.475301
-0.302849,1.88178,-0.421898
-0.536612,1.75873,-0.526863
-0.24963,1.75179,-0.477466
-0.488683,1.61603,-0.570022
-0.244098,1.68097,-0.499921
-0.487255,1.42303,-0.578477
-0.237045,1.5805,-0.508627
-0.4747,1.27688,-0.55388
-0.247448,1.45828,-0.523328
-0.46684,1.15359,-0.49147
-0.242793,1.31298,-0.494786
-0.483159,1.0629,-0.407271
-0.270397,1.17549,-0.443489
-0.483992,1.0207,-0.34323
-0.283784,1.08594,-0.373929
-0.283943,1.04042,-0.307816
-0.787902,2.45425,0.11268
-0.771993,2.46728,0.171524
-0.63387,2.45318,0.171523
-0.793214,2.43309,0.0498469
-0.646213,2.43466,0.10456
-0.82193,2.40991,-0.0550661
-0.672996,2.41919,0.0423529
-0.842088,2.39106,-0.148258
-0.700711,2.38845,-0.0673821
-0.870899,2.3555,-0.226453
-0.71319,2.34493,-0.16396
-0.936001,2.29685,-0.29141
-0.743836,2.29348,-0.189773
-0.936611,2.17723,-0.335866
-0.815824,2.20518,-0.245853
-0.893245,2.06543,-0.374578
-0.78138,2.11118,-0.314862
-0.871711,1.93266,-0.424532
-0.758088,2.03586,-0.381337
-0.904287,1.81007,-0.46326
-0.746094,1.86662,-0.470733
-0.908748,1.66903,-0.494536
-0.726958,1.75244,-0.513227
-0.867224,1.37171,-0.51317
-0.716437,1.52871,-0.573557
-0.858703,1.26148,-0.468362
-0.726919,1.29636,-0.548382
-0.870243,1.18254,-0.40552
-0.719892,1.17635,-0.488031
-0.87258,1.13485,-0.319068
-0.693483,1.09083,-0.425043
0.4727,1.30155,-0.361197
0.470901,1.38235,-0.378084
0.390041,2.46694,0.17152
0.39262,2.44913,0.0734877
0.402022,2.42802,0.0442229
0.407884,2.39335,-0.00529408
0.411327,2.33364,-0.0867861
0.416696,2.26791,-0.155156
0.445383,2.01961,-0.299345
0.440305,2.09333,-0.264491
0.466485,1.86495,-0.345274
0.474838,1.77865,-0.362731
0.479832,1.68825,-0.377732
0.481507,1.5961,-0.386869
0.487886,1.49895,-0.397647
0.273393,1.09316,-0.127663
0.333709,1.08345,-0.162937
0.281557,1.0361,-0.0827571
0.316333,0.997953,0.17152
0.287225,1.0041,-0.0200211
0.455405,0.993368,0.171519
0.285352,1.14265,-0.191281
0.300246,1.27027,-0.270014
0.353258,1.43082,-0.316127
0.33768,1.26282,-0.27868
0.290179,1.20123,-0.222803
0.156782,0.992711,0.17152
-0.671953,1.04469,-0.34363
-0.854192,2.45977,0.1125
-0.847584,2.47626,0.171524
-0.867588,2.43957,0.0535449
-0.876961,2.41858,-0.0617801
-0.898049,2.40939,-0.146798
-0.949521,2.37069,-0.261506
-1.01106,2.29299,-0.319234
-1.01631,2.15748,-0.349289
-1.0488,1.96938,-0.361601
-1.04384,1.87912,-0.376685
-1.05035,1.80648,-0.398117
-1.04339,1.69445,-0.432897
-1.04679,1.55516,-0.446192
-1.06222,1.44129,-0.3997
-1.038,1.33993,-0.34582
-1.02683,1.26299,-0.302713
-0.994341,2.46834,0.117966
-0.991091,2.48502,0.171525
-1.00781,2.45022,0.0623849
-1.02117,2.44445,-0.0197031
-1.10272,2.39258,-0.183941
-1.13198,2.2915,-0.297542
-1.12505,2.1796,-0.33241
-1.13972,2.03708,-0.3393
-1.147,1.9211,-0.352934
-1.14302,1.86131,-0.372735
-1.10412,1.7824,-0.403553
-1.08847,1.69639,-0.430535
-1.11189,1.55823,-0.435485
-1.14853,1.44784,-0.391673
-1.15587,1.34664,-0.319613
-1.15291,1.29363,-0.282017
-1.14842,1.27856,-0.253514
-1.16878,2.481,0.110526
-1.15898,2.49138,0.171525
-1.17785,2.46875,0.0704695
-1.19432,2.45253,-0.0194071
-1.20958,2.39515,-0.183468
-1.22441,2.27745,-0.305282
-1.2642,2.1482,-0.344725
-1.26517,2.01839,-0.359157
-1.24667,1.92097,-0.37433
-1.20352,1.84789,-0.389609
-1.16473,1.77129,-0.417005
-1.16225,1.68799,-0.450842
-1.2164,1.5142,-0.448651
-1.25551,1.37563,-0.387435
-1.26244,1.26803,-0.32577
-1.26565,1.22768,-0.288985
-1.26887,1.18733,-0.252199
-1.43032,2.5195,0.141917
-1.41116,2.52527,0.171526
-1.4411,2.50459,0.0750769
-1.44363,2.48438,-0.00265109
-1.44898,2.4497,-0.0950091
-1.44997,2.37478,-0.21461
-1.43562,2.23602,-0.317989
-1.38596,2.048,-0.380453
-1.37002,1.96916,-0.388154
-1.36333,1.92613,-0.3899
-1.34253,1.81236,-0.40889
-1.32473,1.71419,-0.432945
-1.31651,1.63193,-0.443573
-1.30249,1.49569,-0.434611
-1.32346,1.31722,-0.381467
-1.38352,1.14575,-0.342944
-1.59791,2.54758,0.149002
-1.59105,2.562,0.171527
-1.60874,2.50451,0.075708
-1.6077,2.49344,0.0114459
-1.62257,2.46853,-0.0776721
-1.61226,2.41028,-0.17428
-1.58726,2.32396,-0.243417
-1.54379,2.16618,-0.324773
-1.49773,2.01292,-0.361431
-1.48221,1.88636,-0.368145
-1.48062,1.7963,-0.37391
-1.43654,1.71355,-0.397366
-1.41993,1.57315,-0.419002
-1.40544,1.45429,-0.420981
-1.40914,1.28818,-0.384416
-1.45362,1.14418,-0.353206
-1.8036,2.42257,0.0317339
-1.79829,2.42918,0.171528
-1.74765,2.45966,0.171527
-1.80688,2.37774,-0.0544671
-1.73254,2.47769,0.00397592
-1.80064,2.31802,-0.0979791
-1.74879,2.44069,-0.0730211
-1.78443,2.24738,-0.139142
-1.72383,2.38453,-0.132473
-1.76941,2.16701,-0.16478
-1.69709,2.31113,-0.204908
-1.74163,2.01821,-0.21903
-1.6824,2.20671,-0.23003
-1.70978,1.84709,-0.263826
-1.66109,2.03128,-0.263073
-1.68523,1.75688,-0.292841
-1.62412,1.88132,-0.306674
-1.64513,1.6714,-0.319373
-1.59418,1.77859,-0.341987
-1.61908,1.52332,-0.340876
-1.56196,1.69383,-0.364486
-1.61694,1.3852,-0.331033
-1.53355,1.52737,-0.393399
-1.62831,1.23947,-0.297941
-1.53094,1.40662,-0.394501
-1.64072,1.12447,-0.269734
-1.54702,1.23768,-0.366002
-1.6578,1.05893,-0.253243
-1.56687,1.12224,-0.328176
-1.8985,2.38034,0.0414009
-1.87896,2.38592,0.171528
-1.88218,2.32624,-0.0195331
