Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-1.93156,1.34733,3.25011,4.01365,869
-1.94184,1.35408,3.2406,4.0132,868
-1.04069,1.79254,3.43605,4.01281,137
-1.14094,1.74302,3.42935,4.01252,138
-1.8913,2.51728,2.48491,4.01104,1843
-1.9031,1.67775,3.10568,4.01022,360
-1.84039,1.42368,3.26421,4.00861,878
-1.89735,1.55782,3.16474,4.00528,362
-1.21846,2.32968,3.01923,4.00348,1871
-1.88693,1.50778,3.19156,4.0025,363
-1.4746,1.97501,3.15265,4.00179,2840
-1.27848,2.54544,2.80344,3.99663,1852
-1.94102,1.46074,3.17306,3.9962,340
-1.93741,1.39651,3.20303,3.9954,861
-1.93273,2.47966,2.46554,3.99538,769
-1.13004,1.83389,3.36337,3.99404,2398
-2.03076,1.57508,3.05642,3.99331,326
-1.09319,1.85549,3.36205,3.99265,2397
-1.80737,1.7678,3.08842,3.99125,2735
-2.0233,1.68294,2.99841,3.98955,828
-1.98347,2.43409,2.45822,3.9877,771
-1.00506,1.85611,3.38065,3.98549,125
-1.90007,2.49532,2.4558,3.98344,770
-1.07916,1.84187,3.36272,3.98308,144
-1.87891,1.71606,3.06332,3.98234,2660
-1.8492,1.34816,3.25871,3.982,62
-0.919709,1.85854,3.39795,3.98071,118
-1.35031,2.032,3.14026,3.97663,1927
-1.99007,1.52681,3.08532,3.97627,339
-1.22617,2.51442,2.82534,3.97598,1853
-1.89854,1.32852,3.2307,3.97578,870
-1.84591,1.4631,3.19887,3.9725,891
-1.91856,1.34757,3.2066,3.97229,862
-1.88171,1.32674,3.23692,3.97225,54
-1.09792,1.81861,3.35625,3.97205,147
-2.03841,1.69496,2.95697,3.97136,826
-2.16706,1.81055,2.79015,3.96978,820
-2.21064,1.90953,2.68774,3.96953,819
-2.03484,2.37698,2.44138,3.96875,772
-2.25485,2.06818,2.52685,3.96821,792
-1.25413,2.14086,3.09415,3.96609,1414
-1.80436,1.42812,3.22918,3.9652,888
-1.83696,1.31312,3.25933,3.96509,56
-1.90763,1.40619,3.1782,3.96451,875
-1.19366,2.48432,2.84675,3.96241,1854
-2.0766,1.7216,2.90067,3.96107,824
-1.82907,1.28692,3.26852,3.96042,58
-1.9554,1.49718,3.10076,3.95978,335
-1.87229,1.54372,3.12586,3.95722,358
-1.97941,1.51916,3.07006,3.95616,337
-2.12616,1.75832,2.83421,3.95538,822
-1.09184,1.7361,3.38077,3.95421,148
-1.86382,1.59102,3.10156,3.95283,357
-1.88529,1.27924,3.22677,3.95004,55
-2.095,2.30534,2.42684,3.94882,773
-1.82866,1.45715,3.18163,3.94843,890
-1.19614,2.23622,3.02621,3.94834,1857
-1.92527,1.441,3.13085,3.94783,334
-1.85436,1.50105,3.14525,3.94771,364
-1.91072,1.34218,3.18293,3.94757,874
-0.927877,1.84435,3.36376,3.94683,139
-1.01444,1.82318,3.3498,3.94642,140
-1.32358,2.04721,3.10318,3.94623,1411
-1.88888,1.31544,3.20273,3.94408,885
-1.8869,1.40329,3.15719,3.93668,863
-1.78911,1.37216,3.22624,3.93603,61
-1.34803,2.62258,2.60623,3.93542,1832
-1.87865,1.24478,3.22529,3.93463,52
-1.85383,1.63493,3.05815,3.93217,359
-1.99835,1.54865,3.01122,3.93182,324
-1.15811,2.41748,2.87313,3.92942,1855
-1.06944,1.78305,3.33416,3.92933,142
-1.30804,2.57766,2.65208,3.92286,1833
-1.74991,1.34823,3.24153,3.92268,60
-1.88592,1.27385,3.19472,3.92245,49
-1.59656,1.8459,3.06783,3.9202,2726
-2.18404,1.85036,2.67698,3.9192,821
-1.87831,1.30977,3.18007,3.91872,884
-1.73547,1.31811,3.25328,3.91575,63
-2.02069,1.6252,2.93339,3.91525,327
