Points_0,Points_1,Points_2
0.117383,0.119316,-0.0394329
0.117976,0.120025,-0.039526
0.0804346,0.120635,-0.041504
0.0801342,0.119692,-0.041345
0.0799678,0.119135,-0.0412429
0.0798058,0.118158,-0.0410624
0.0797824,0.117668,-0.0409706
0.0798431,0.116662,-0.0407691
0.0800362,0.115669,-0.0405556
0.0801865,0.115195,-0.0404426
0.0806897,0.114259,-0.0402251
0.0814909,0.113461,-0.0400317
0.082668,0.112973,-0.0399086
0.083405,0.112683,-0.0398521
0.118075,0.120658,-0.0389227
0.118241,0.121431,-0.0390477
0.118265,0.122564,-0.0392449
0.118189,0.123166,-0.0393564
0.117994,0.124208,-0.0395573
0.11799,0.12452,-0.0396155
0.118072,0.125518,-0.0397978
0.118092,0.125945,-0.0398725
0.118005,0.12689,-0.040047
0.117848,0.127464,-0.0401544
0.117342,0.128281,-0.0403236
0.117037,0.128635,-0.0403982
0.116272,0.12924,-0.040542
0.11541,0.129744,-0.0406789
0.115034,0.129905,-0.040726
0.114069,0.130099,-0.0408069
0.113061,0.130103,-0.0408632
0.112009,0.129899,-0.040866
0.111762,0.129815,-0.0408629
0.11091,0.129252,-0.0408108
0.110228,0.128551,-0.0407298
0.109525,0.127804,-0.040623
0.108972,0.126995,-0.0405067
0.108646,0.126204,-0.0403817
0.108509,0.125197,-0.040204
0.108648,0.124174,-0.0400107
0.109005,0.123087,-0.0398005
0.109528,0.12201,-0.0395808
0.110088,0.121146,-0.0394011
0.110534,0.120492,-0.0392571
0.111262,0.119778,-0.0390933
0.112182,0.119059,-0.0389203
0.112803,0.118701,-0.0388258
0.113752,0.118437,-0.038733
0.114499,0.118475,-0.0387015
0.115457,0.11871,-0.0387017
0.11638,0.11904,-0.0387159
0.117266,0.119506,-0.0387668
0.117878,0.120207,-0.0388669
0.0817667,0.122141,-0.041014
0.0813404,0.121896,-0.0409873
0.0809063,0.121551,-0.0409402
0.0804674,0.120694,-0.0407928
0.0801889,0.119771,-0.0406373
0.0800208,0.119232,-0.0405466
0.0798599,0.118275,-0.0403654
0.0798461,0.117792,-0.0402755
0.0798868,0.117004,-0.0401165
0.0800444,0.116011,-0.0399014
0.0806274,0.114762,-0.0396183
0.0808074,0.114454,-0.0395497
0.0815856,0.113679,-0.039353
0.0827148,0.113249,-0.0392626
0.0837327,0.112733,-0.0391927
0.117769,0.12065,-0.0382258
0.118047,0.121483,-0.0383532
0.1181,0.122817,-0.0385848
0.118026,0.123314,-0.0386754
0.117807,0.124384,-0.0388791
0.117878,0.125643,-0.0391161
0.117911,0.126032,-0.0391835
0.11786,0.126984,-0.0393599
0.117719,0.127531,-0.0394621
0.117273,0.128392,-0.0396366
0.116983,0.128742,-0.0397117
0.116246,0.129376,-0.0398596
0.115404,0.129895,-0.0399933
0.114414,0.1303,-0.0401156
0.114067,0.13037,-0.0401455
0.113078,0.130433,-0.0402043
0.111976,0.13027,-0.0402266
0.111645,0.130164,-0.0402176
0.110785,0.129642,-0.0401772
0.110057,0.128899,-0.0400814
0.109313,0.128083,-0.0399784
0.108743,0.127275,-0.0398578
0.108417,0.126376,-0.0397137
0.108344,0.125362,-0.0395261
0.10851,0.12429,-0.0393271
0.108905,0.123226,-0.0391167
0.109465,0.122096,-0.038884
0.110023,0.121245,-0.0387119
0.110635,0.120459,-0.0385379
0.111194,0.119956,-0.0384171
0.111963,0.119348,-0.0382757
0.112799,0.118892,-0.0381503
0.113475,0.118654,-0.0380617
0.114459,0.118695,-0.0380276
0.115429,0.118946,-0.0380413
0.116238,0.119244,-0.0380676
0.117118,0.119694,-0.0381037
0.0817517,0.122195,-0.0403097
0.0813712,0.121956,-0.0402936
0.0807746,0.121286,-0.0401872
0.080504,0.120802,-0.0401001
0.0802446,0.119863,-0.0399442
0.0800964,0.119327,-0.0398492
0.0799361,0.118378,-0.0396704
0.0799467,0.117378,-0.0394699
0.0801656,0.116196,-0.039216
0.0805685,0.115221,-0.0389904
0.0809324,0.114673,-0.0388448
0.0817668,0.113909,-0.0386417
0.0827795,0.113505,-0.0385491
0.0835915,0.113066,-0.03851
0.0842797,0.112295,-0.0383847
0.117388,0.12062,-0.037524
0.117881,0.121704,-0.0377056
0.117931,0.122932,-0.0379043
0.117853,0.123467,-0.0379988
0.117608,0.124542,-0.0382034
0.117638,0.12574,-0.0384322
0.117686,0.126117,-0.0385021
0.117665,0.127095,-0.0386777
0.117556,0.127592,-0.038779
0.117186,0.128492,-0.0389454
0.116917,0.128841,-0.0390225
0.116212,0.129508,-0.0391749
0.115385,0.13006,-0.0393138
0.114423,0.130509,-0.0394398
0.114057,0.130595,-0.0394764
0.113081,0.130722,-0.039546
0.111929,0.130611,-0.0395763
0.110994,0.130245,-0.0395592
0.110672,0.130019,-0.0395328
0.109888,0.12922,-0.0394353
0.109084,0.12838,-0.0393284
0.108536,0.127542,-0.0391965
0.108247,0.126727,-0.0390709
0.108151,0.125519,-0.0388561
0.108389,0.124443,-0.0386495
0.108827,0.123335,-0.0384276
0.109397,0.122202,-0.038198
0.109973,0.121371,-0.0380216
0.110619,0.120605,-0.0378541
0.111165,0.1201,-0.0377374
0.111954,0.119527,-0.0375953
0.112809,0.119108,-0.0374768
0.113464,0.11894,-0.0374093
0.114389,0.118971,-0.0373627
0.115382,0.119242,-0.037381
0.116077,0.119494,-0.0374229
0.11689,0.119978,-0.0374533
0.0814122,0.121994,-0.0395802
0.0808296,0.121323,-0.0394792
0.080621,0.120891,-0.039411
0.0802834,0.11994,-0.0392429
0.0801588,0.119438,-0.0391539
0.0800403,0.118479,-0.0389708
0.0800776,0.117429,-0.0387574
0.0803158,0.11635,-0.0385228
0.0807703,0.115403,-0.038287
0.0815515,0.114524,-0.0380607
0.0818949,0.114233,-0.0379957
0.0828036,0.113774,-0.0379199
0.0835148,0.113205,-0.0378496
0.0842409,0.112447,-0.0377016
0.0855034,0.111467,-0.0375261
0.117014,0.120647,-0.036833
0.117304,0.121071,-0.0369108
0.117609,0.122137,-0.0370599
0.117726,0.123229,-0.0372454
0.117671,0.123585,-0.0373103
0.117382,0.124733,-0.0375316
0.11735,0.125848,-0.0377554
0.117436,0.127143,-0.0379818
0.117356,0.127613,-0.038079
0.11703,0.128532,-0.0382492
0.116815,0.12888,-0.038324
0.116145,0.129602,-0.0384828
0.115353,0.130177,-0.0386215
0.114456,0.130623,-0.0387473
0.114039,0.130772,-0.0387971
0.113077,0.130979,-0.0388822
0.112057,0.13095,-0.0389269
0.110954,0.130588,-0.0389121
0.110547,0.130348,-0.0389017
0.109748,0.129596,-0.0387999
0.109018,0.128815,-0.0386974
0.108315,0.127834,-0.0385587
0.108022,0.126969,-0.0384152
0.107988,0.125674,-0.0381755
0.108274,0.124573,-0.0379698
0.108743,0.123465,-0.0377495
0.109365,0.122338,-0.0375141
0.109943,0.121514,-0.0373368
0.110621,0.120771,-0.0371668
0.111419,0.120122,-0.037015
0.111946,0.119741,-0.036924
0.112878,0.119339,-0.0367863
0.113483,0.119251,-0.0367452
0.114639,0.119348,-0.0367081
0.115442,0.1196,-0.0367264
0.115844,0.11976,-0.0367614
0.116665,0.12028,-0.036798
0.0822111,0.122449,-0.038915
0.0814247,0.121986,-0.038871
0.0810224,0.121668,-0.0388233
0.0806182,0.120883,-0.0387004
0.0803402,0.120032,-0.0385475
0.0801582,0.119018,-0.0383613
0.0801227,0.118575,-0.0382752
0.0802071,0.11753,-0.0380659
0.0804629,0.116497,-0.0378266
0.0809572,0.115548,-0.037595
0.0817406,0.114721,-0.0373858
0.0820034,0.114529,-0.0373489
0.0828147,0.11402,-0.0372628
0.0834566,0.113345,-0.0371714
0.0841401,0.112555,-0.0370214
0.0843695,0.112282,-0.0369785
0.0854812,0.111566,-0.0368392
0.0866247,0.111824,-0.036828
0.0870615,0.112214,-0.0368475
0.117275,0.121908,-0.0363342
0.117375,0.122253,-0.0363913
0.117517,0.123414,-0.036586
0.11747,0.123774,-0.0366514
0.117216,0.124894,-0.0368623
0.117011,0.125955,-0.0370617
0.117084,0.126953,-0.0372566
0.116963,0.128141,-0.0374734
0.116844,0.12857,-0.0375447
